IBUName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Elo,Individual_Elo,Sprint_Elo,Pursuit_Elo,MassStart_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
Marine Debloem,Marine Debloem,3067,Belgium,999,999,False,False,1041.5160996677216,1188.1769710834494,1078.88608315028,1300.0,1300.0,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Mikoto Takeuchi,Mikoto Takeuchi,3082,Japan,999,999,False,False,1134.61368294994,1281.7004861830287,1129.1035188070289,1300.0,1288.2101582455625,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Alexandra Rud,Alexandra Rud,2905,USA,999,999,False,False,1255.840695740659,1285.8061115810838,1268.320391645829,1300.0,1300.0,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Marisa Emonts,Marisa Emonts,2778,Belgium,999,999,False,False,1208.833409334822,1197.8780721620078,1198.0161944739623,1300.0,1287.7684110010437,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Lea Gross,Lea Gross,2814,Belgium,999,999,False,False,992.7091746909326,1169.8954649737257,1035.134767208055,1300.0,1300.0,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Irina Georgieva,Irina Georgieva,2974,Bulgaria,999,999,False,False,988.6588405399089,1133.4401865744649,1041.2514207238858,1300.0,1298.4395367140407,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Kaja Maric,Kaja Maric,2709,Slovenia,999,999,False,False,992.033370454096,1156.928047850112,1023.405892490964,1300.0,1298.9973407372584,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Selina Heigl,Selina Heigl,2900,Austria,999,999,False,False,1207.6843944721102,1253.0115315024918,1250.7861480244055,1300.0,1300.0,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Valeriya Mironova,Valeriya Mironova,3076,Kazakhstan,999,999,False,False,1169.622566964763,1243.2276798563148,1211.9453765790522,1300.0,1298.4395367140407,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Veronika Michalechova,Veronika Michalechova,3073,Slovakia,999,999,False,False,1234.5132173876402,1282.9445850997256,1267.9740036012029,1300.0,1297.5909497197515,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Carlotta Gautero,Carlotta Gautero,3009,Italy,999,999,False,False,1294.9729066763196,1298.985279758789,1293.2338794520758,1300.0,1299.9395367140407,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Violetta Konopljova,Violetta Konopljova,2853,Estonia,999,999,False,False,1258.6312597347496,1237.1679117102974,1251.8365455806002,1300.0,1298.9973407372584,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Valeriia Sheihas,Valeriia Sheihas,3020,Ukraine,999,999,False,False,1257.065030335749,1284.2693909821037,1270.719133231137,1300.0,1300.0,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Lena Baumann,Lena Baumann,3063,Switzerland,999,999,False,False,1274.2538948422343,1295.3894541655338,1285.74393806497,1300.0,1298.4395367140407,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Anna Millinger,Anna Millinger,3019,Austria,999,999,False,False,1252.2884085796622,1266.9116043879933,1285.0297915339722,1300.0,1298.4372860823412,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Anna-Maria Schrempf,Anna-Maria Schrempf,2908,Austria,999,999,False,False,1260.1025325042383,1291.887287640617,1282.752370299009,1300.0,1298.4395367140407,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Rosaly Mavie Stollberger,Rosaly Mavie Stollberger,3025,Austria,999,999,False,False,1270.1416350864426,1292.5385367842223,1282.8741374234842,1300.0,1298.4395367140407,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Virginia Cobb,Virginia Cobb,3064,USA,999,999,False,False,1267.6030688448184,1286.8321966566,1284.2842334868092,1300.0,1300.0,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Adelina Rimbeu,Adelina Rimbeu,2789,Romania,999,999,False,False,1123.6071707606834,1225.7296748452934,1138.1730530475506,1300.0,1299.1477396266696,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Lexie Madigan,Lexie Madigan,2441,USA,999,999,False,False,1151.9637509573497,1252.91037871375,1172.9219260100222,1299.9557598580775,1300.0,1299.9557598580775,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Valerie Krizova,Valerie Krizova,3011,Czechia,999,999,False,False,1263.879274553096,1292.6160415177492,1285.2372813963273,1299.3850031921795,1298.4395367140407,1299.3850031921795,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
