FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob,Race5_Prob,Race6_Prob
NIKON Anastasiia,Anastasiia Nikon,6954.0,Ukraine,True,False,False,232,999.203040871583,1044.3671024114228,1152.2353697895076,1150.206547290304,1128.914723906795,1158.1777409990125,1189.1976939903125,1080.58385092673,1066.3584990898075,3,False,3,1.0,1.0,1.0,1.0,1.0,1.0
FISCHER Lea,Lea Fischer,2284.0,Switzerland,True,False,False,231,1453.6413590848354,1198.8668287170342,1233.1206221301288,1218.2364876338745,1477.1998644687856,1398.0019007867309,1427.6877196836117,1393.7882826917946,1392.530501877779,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
DE MARTIN PINTER Iris,Iris De Martin Pinter,7422.0,Italy,True,False,False,231,1400.6463224738245,1292.61544378923,1367.2454377359938,1240.5384463827347,1458.0893755116756,1359.61811593812,1424.5367251783057,1378.6175359732622,1404.788673907247,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
PERRY Leonie,Leonie Perry,10413.0,France,True,False,False,230,1458.8269553259986,1469.3600575906212,1281.357723907366,1412.6231098389608,1310.6474271280804,1274.078536158611,1324.5093977009574,1265.412313576214,1474.0996280804602,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
BUCHER Heidi,Heidi Bucher,10823.0,Austria,True,False,False,230,1341.179594426132,1228.1598907257066,1245.2228212819164,1240.5384463827347,1355.9698381796377,1239.0261308575673,1365.1603099451504,1233.698673495549,1344.5163461174789,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
PULLES Mariel Merlii,Mariel Merlii Pulles,1969.0,Estonia,True,False,False,230,1200.4627448587687,1277.4461045068133,1253.7483818651476,1293.0827193223477,1242.980514190867,1309.6943229755489,1250.174671727777,1295.0881618184703,1205.8401723215131,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
TUUL Teesi,Teesi Tuul,3328.0,Estonia,True,False,False,230,1117.634273711111,1137.0964348687976,1206.329944143943,1173.0022968201758,1140.3679877959748,1127.743578174602,1220.786627711133,1078.4994287653562,1165.2330998005862,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
HONDA Chika,Chika Honda,7087.0,Japan,True,False,False,230,1063.1064575442665,1124.0670825426018,1217.0052930397262,1191.4227307238928,1104.1477345563635,1159.7483987226267,1185.0826900162303,1092.8946676843111,1130.0400743986015,3,False,3,1.0,1.0,1.0,1.0,1.0,1.0
CASSOL Federica,Federica Cassol,9082.0,Italy,True,False,False,228,1414.1354065650833,1187.3552736275803,1284.3050379791791,1217.5556091101962,1541.0049345269288,1449.6995377722062,1487.8367046731742,1460.696889173446,1377.8439863434023,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
FUERSTENBERG Theresa,Theresa Fürstenberg,6801.0,Germany,True,False,False,228,1303.179594426132,1228.1598907257066,1245.2228212819164,1240.5384463827347,1318.6365048463044,1239.0261308575673,1325.1603099451504,1233.698673495549,1304.5163461174789,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
KOBAYASHI Chika,Chika Kobayashi,3524.0,Japan,True,False,False,228,1256.058202212865,1258.8097545030869,1276.567799267876,1260.481794599915,1276.8271862422398,1239.0261308575673,1270.8277987122644,1276.912038486534,1269.5505753195548,3,False,3,1.0,1.0,1.0,1.0,1.0,1.0
